epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
111,2542.23,1.29618,1.56897,1.34466,0.00716,1.11904,0.4557,0.51311,0.5533,0.3903,0.46089,0.52257,0.52602,0.26835,1.11987,1.42958,1.43857,0.00868,0,0.000689978,0.000689978,0.000689978
112,2564.19,1.3064,1.65533,1.33149,0.00666,1.10793,0.44946,0.53193,0.55022,0.39234,0.45484,0.53001,0.53207,0.2728,1.12909,1.42435,1.42434,0.00874,0,0.000665895,0.000665895,0.000665895
113,2586.3,1.30376,1.55055,1.34216,0.00687,1.0804,0.48661,0.55185,0.55987,0.39505,0.50742,0.54141,0.53896,0.26921,1.152,1.45841,1.38454,0.00892,0,0.000642139,0.000642139,0.000642139
114,2608.53,1.31764,1.52728,1.35948,0.00696,1.13022,0.50229,0.57956,0.56482,0.39308,0.50255,0.56685,0.53556,0.25919,1.18846,1.48015,1.41275,0.00912,0,0.000618719,0.000618719,0.000618719
115,2630.38,1.2817,1.507,1.38978,0.00705,1.16391,0.51559,0.56685,0.57198,0.39179,0.50277,0.5358,0.52744,0.24885,1.18449,1.49432,1.40885,0.00942,0,0.000595645,0.000595645,0.000595645
116,2652.74,1.32118,1.57071,1.38201,0.00648,1.18807,0.55262,0.53514,0.57168,0.39647,0.52691,0.49767,0.52485,0.24407,1.15158,1.47779,1.42397,0.00922,0,0.000572926,0.000572926,0.000572926
117,2675.74,1.28996,1.54475,1.337,0.0073,1.08342,0.53371,0.54152,0.58067,0.40621,0.49527,0.52691,0.54849,0.25493,1.13411,1.42875,1.41992,0.00883,0,0.00055057,0.00055057,0.00055057
118,2698.04,1.31781,1.54137,1.39362,0.00694,1.08425,0.55382,0.57899,0.58721,0.4083,0.50873,0.55749,0.55852,0.27295,1.1306,1.41699,1.42181,0.00863,0,0.000528585,0.000528585,0.000528585
119,2719.9,1.31335,1.51808,1.37973,0.00651,1.1503,0.54562,0.58116,0.59199,0.41059,0.51148,0.53016,0.56256,0.27357,1.13567,1.42522,1.415,0.00871,0,0.000506981,0.000506981,0.000506981
120,2741.85,1.35324,1.52655,1.35752,0.00698,1.05241,0.53971,0.61063,0.58839,0.41048,0.51976,0.56286,0.55653,0.25971,1.13102,1.4322,1.43119,0.00863,0,0.000485765,0.000485765,0.000485765
121,2764.1,1.26326,1.54998,1.32659,0.00669,1.05552,0.53849,0.57771,0.58881,0.40664,0.53516,0.53351,0.55272,0.25862,1.13819,1.43674,1.43272,0.00872,0,0.000464946,0.000464946,0.000464946
122,2785.63,1.31418,1.54965,1.32588,0.00655,1.09286,0.50195,0.57822,0.5881,0.4044,0.62289,0.47107,0.5468,0.26247,1.13071,1.42217,1.42394,0.00862,0,0.000444532,0.000444532,0.000444532
123,2807.24,1.26048,1.56675,1.33256,0.00656,1.04305,0.50292,0.59674,0.58271,0.40277,0.54403,0.50968,0.54116,0.26163,1.13341,1.42192,1.42385,0.00856,0,0.000424531,0.000424531,0.000424531
124,2829.57,1.2328,1.49371,1.31188,0.00682,1.09892,0.51884,0.5929,0.57755,0.39974,0.51908,0.54365,0.54273,0.25643,1.1341,1.42214,1.41767,0.00858,0,0.00040495,0.00040495,0.00040495
125,2850.93,1.23899,1.50818,1.32242,0.00655,1.06474,0.50742,0.59447,0.57462,0.40177,0.52886,0.54213,0.53255,0.25524,1.13224,1.45965,1.4008,0.00875,0,0.000385797,0.000385797,0.000385797
126,2872.4,1.27347,1.50333,1.33091,0.00665,1.14627,0.51596,0.60048,0.57657,0.40407,0.48897,0.53738,0.52611,0.26561,1.09595,1.44332,1.41429,0.00812,0,0.000367079,0.000367079,0.000367079
127,2894.24,1.27898,1.53207,1.33277,0.00676,1.114,0.52004,0.59272,0.5752,0.40526,0.48552,0.55087,0.53211,0.27103,1.11802,1.44342,1.40153,0.00845,0,0.000348804,0.000348804,0.000348804
128,2915.49,1.26419,1.54101,1.37061,0.00689,1.12207,0.49515,0.61492,0.57846,0.40317,0.47651,0.55181,0.53213,0.27287,1.12848,1.43992,1.39492,0.00852,0,0.000330979,0.000330979,0.000330979
129,2936.97,1.27352,1.51719,1.28708,0.00673,1.12757,0.51588,0.60158,0.58239,0.40868,0.48414,0.56319,0.54021,0.27598,1.1209,1.44181,1.39082,0.00844,0,0.00031361,0.00031361,0.00031361
130,2958.35,1.21826,1.45502,1.27187,0.00689,1.13063,0.56401,0.54892,0.5884,0.41583,0.55441,0.52833,0.55053,0.27842,1.11551,1.44128,1.36794,0.00832,0,0.000296704,0.000296704,0.000296704
131,2979.73,1.26072,1.48336,1.29922,0.00699,1.04628,0.54682,0.57911,0.58969,0.42273,0.52882,0.55605,0.55467,0.27769,1.10109,1.43391,1.35575,0.00815,0,0.000280268,0.000280268,0.000280268
132,3001.63,1.25074,1.54356,1.22095,0.00647,1.06119,0.53911,0.57684,0.59203,0.423,0.53125,0.55104,0.55488,0.27096,1.09591,1.43477,1.34025,0.00826,0,0.000264307,0.000264307,0.000264307
133,3023.22,1.24351,1.52321,1.30969,0.00674,1.08853,0.49343,0.58049,0.59043,0.42296,0.50093,0.53983,0.55314,0.26555,1.09186,1.43489,1.34284,0.00822,0,0.000248829,0.000248829,0.000248829
134,3044.64,1.27747,1.48447,1.31522,0.00716,1.06326,0.51418,0.59932,0.59346,0.42075,0.49254,0.5672,0.55869,0.26653,1.10275,1.44188,1.34723,0.00839,0,0.000233839,0.000233839,0.000233839
135,3066.46,1.30848,1.53936,1.26442,0.00719,1.12135,0.52914,0.58787,0.59426,0.41709,0.51929,0.55145,0.5534,0.26049,1.12883,1.44314,1.34387,0.0084,0,0.000219343,0.000219343,0.000219343
136,3088,1.24433,1.44818,1.32774,0.00732,1.07114,0.53183,0.58279,0.59627,0.42085,0.52745,0.56679,0.54958,0.26189,1.11745,1.44816,1.34725,0.00818,0,0.000205347,0.000205347,0.000205347
137,3109.47,1.25746,1.5489,1.29787,0.00615,1.10756,0.54569,0.58237,0.59839,0.4217,0.54294,0.56089,0.55936,0.26168,1.1059,1.45031,1.34665,0.00809,0,0.000191855,0.000191855,0.000191855
138,3131.14,1.23425,1.43229,1.25535,0.00628,1.08054,0.55308,0.59283,0.60016,0.42955,0.55693,0.55783,0.56473,0.26276,1.11468,1.4434,1.32733,0.00821,0,0.000178874,0.000178874,0.000178874
139,3152.65,1.24791,1.49608,1.26332,0.00619,1.05095,0.54315,0.58963,0.59034,0.42252,0.5571,0.56743,0.56035,0.26854,1.11033,1.43253,1.34069,0.00825,0,0.000166407,0.000166407,0.000166407
140,3174.32,1.26105,1.51092,1.26868,0.00688,0.97289,0.54157,0.58522,0.58375,0.41951,0.53749,0.5483,0.55305,0.2699,1.10602,1.429,1.33927,0.00822,0,0.000154461,0.000154461,0.000154461
141,3195.98,1.29207,1.60615,1.2961,0.00717,1.19736,0.53199,0.5863,0.58275,0.41896,0.5263,0.53581,0.53919,0.26781,1.10791,1.42936,1.33532,0.00827,0,0.000143039,0.000143039,0.000143039
142,3217.42,1.24234,1.45438,1.30401,0.00634,1.11388,0.54606,0.59253,0.5827,0.419,0.52176,0.54479,0.53373,0.26275,1.10466,1.42827,1.33659,0.00833,0,0.000132146,0.000132146,0.000132146
143,3239.1,1.21233,1.4463,1.28574,0.00658,1.09842,0.54212,0.591,0.58158,0.4187,0.51789,0.56174,0.53962,0.26868,1.11291,1.42213,1.33805,0.00842,0,0.000121786,0.000121786,0.000121786
144,3260.43,1.21838,1.41318,1.36677,0.00701,1.18534,0.54653,0.59553,0.58212,0.42109,0.51566,0.54695,0.53591,0.26905,1.11733,1.42056,1.33892,0.00845,0,0.000111963,0.000111963,0.000111963
145,3281.97,1.23058,1.58683,1.26352,0.00602,1.05513,0.54013,0.61856,0.5821,0.41937,0.51017,0.57296,0.53306,0.2679,1.09937,1.42363,1.34944,0.00823,0,0.000102681,0.000102681,0.000102681
146,3303.2,1.20432,1.47783,1.28608,0.00673,1.08586,0.54632,0.61617,0.58487,0.42196,0.53574,0.54462,0.54495,0.26822,1.10034,1.42334,1.35008,0.00825,0,9.39436e-05,9.39436e-05,9.39436e-05
147,3324.87,1.2208,1.51764,1.27602,0.00624,1.07516,0.5427,0.59309,0.58486,0.42161,0.52775,0.52286,0.54481,0.26474,1.08581,1.42389,1.35589,0.00813,0,8.5754e-05,8.5754e-05,8.5754e-05
148,3346.3,1.22504,1.5462,1.28075,0.00606,1.10003,0.5393,0.58626,0.58448,0.42187,0.52051,0.54287,0.54537,0.26734,1.08458,1.42753,1.3547,0.00807,0,7.81153e-05,7.81153e-05,7.81153e-05
149,3367.75,1.20062,1.56133,1.26794,0.00616,1.10223,0.55018,0.57914,0.58542,0.42321,0.54481,0.51927,0.54906,0.26702,1.08228,1.42856,1.35683,0.00805,0,7.10307e-05,7.10307e-05,7.10307e-05
150,3389.12,1.20465,1.44338,1.29957,0.00619,1.05809,0.54229,0.59148,0.5874,0.42158,0.52267,0.53983,0.54707,0.26622,1.08552,1.42744,1.35111,0.00807,0,6.45027e-05,6.45027e-05,6.45027e-05
151,3426.23,1.15075,1.27799,1.25923,0.00827,1.09668,0.51807,0.56748,0.56126,0.40352,0.49248,0.52269,0.52448,0.25166,1.10971,1.47939,1.39357,0.00858,0,5.85339e-05,5.85339e-05,5.85339e-05
152,3447.88,1.15607,1.33886,1.30314,0.00886,1.10675,0.52303,0.56377,0.55625,0.39609,0.50263,0.54279,0.52442,0.2479,1.11847,1.47361,1.39688,0.00876,0,5.31265e-05,5.31265e-05,5.31265e-05
153,3469.53,1.14386,1.29692,1.31415,0.0084,1.11255,0.53156,0.57518,0.56685,0.39757,0.53785,0.53548,0.5296,0.24947,1.12595,1.48341,1.39478,0.00888,0,4.82828e-05,4.82828e-05,4.82828e-05
154,3491.3,1.13555,1.26264,1.22847,0.00815,1.07885,0.53495,0.58141,0.56982,0.40098,0.52414,0.52197,0.52872,0.25113,1.12232,1.48768,1.38648,0.00873,0,4.40045e-05,4.40045e-05,4.40045e-05
155,3512.73,1.08844,1.26116,1.22584,0.00765,1.10427,0.51532,0.58141,0.57125,0.40369,0.51116,0.52875,0.52949,0.2529,1.12266,1.48504,1.37011,0.0088,0,4.02933e-05,4.02933e-05,4.02933e-05
156,3533.81,1.14627,1.25103,1.23788,0.00832,1.09888,0.50069,0.59145,0.57116,0.40567,0.49158,0.53662,0.52793,0.25512,1.11126,1.48384,1.37574,0.00868,0,3.71507e-05,3.71507e-05,3.71507e-05
157,3555.34,1.07769,1.24384,1.23002,0.00817,1.12546,0.48666,0.60326,0.57599,0.4098,0.48939,0.53274,0.53624,0.25603,1.09679,1.47439,1.37804,0.00846,0,3.45778e-05,3.45778e-05,3.45778e-05
158,3577.38,1.13038,1.24955,1.26338,0.00786,1.12487,0.48954,0.6108,0.57346,0.40939,0.47524,0.55463,0.53975,0.25434,1.11258,1.47861,1.3714,0.00869,0,3.25756e-05,3.25756e-05,3.25756e-05
159,3599.31,1.14197,1.2757,1.19657,0.00828,1.10813,0.48517,0.6053,0.57662,0.41055,0.4705,0.55513,0.54027,0.25599,1.11171,1.4785,1.36249,0.00868,0,3.11449e-05,3.11449e-05,3.11449e-05
160,3620.4,1.12612,1.24541,1.27418,0.00825,1.11191,0.48734,0.60222,0.57649,0.41124,0.47496,0.55674,0.5414,0.25526,1.10514,1.4786,1.35991,0.00867,0,3.02862e-05,3.02862e-05,3.02862e-05
