epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,656.202,1.70289,1.94482,1.92195,0.00943,1.26648,0.74932,0.32078,0.41516,0.2379,0.72259,0.33724,0.39202,0.15921,1.53166,1.61901,2.05495,0.0128,0,0.00279616,0.00279616,0.00279616
29,680.242,1.70873,1.92525,1.98199,0.01072,1.34786,0.43449,0.42698,0.43108,0.22851,0.39101,0.43379,0.38819,0.15885,1.57276,1.64048,1.97717,0.01332,0,0.00278117,0.00278117,0.00278117
30,703.703,1.67534,1.85725,1.91815,0.0096,1.34795,0.43997,0.41842,0.42829,0.24201,0.42031,0.40944,0.40249,0.16906,1.56561,1.53311,1.90713,0.01364,0,0.00276569,0.00276569,0.00276569
31,727.638,1.66803,1.88393,1.93761,0.01031,1.29159,0.45626,0.41279,0.44212,0.25612,0.44881,0.40226,0.40907,0.18835,1.5491,1.57288,1.89378,0.0127,0,0.00274973,0.00274973,0.00274973
32,753.297,1.70177,1.9047,1.92771,0.01021,1.30621,0.47529,0.41679,0.43059,0.24507,0.45738,0.40218,0.38566,0.15306,1.50018,1.71749,1.97992,0.01297,0,0.0027333,0.0027333,0.0027333
33,775.825,1.70971,1.89034,1.90896,0.01005,1.30887,0.43365,0.37182,0.40435,0.2457,0.42815,0.35881,0.38112,0.15534,1.42806,1.6045,2.03487,0.01179,0,0.00271639,0.00271639,0.00271639
34,798.105,1.65601,1.8699,1.90905,0.00961,1.30905,0.38554,0.37704,0.41575,0.23546,0.34398,0.43653,0.37158,0.14535,1.50458,1.53661,1.96025,0.01174,0,0.00269902,0.00269902,0.00269902
35,820.469,1.6645,1.79347,1.84988,0.0095,1.182,0.42179,0.41897,0.41539,0.21751,0.4027,0.38562,0.36286,0.14323,1.59474,1.64499,1.99626,0.01308,0,0.0026812,0.0026812,0.0026812
36,842.831,1.70844,1.92234,1.88338,0.01045,1.34601,0.41077,0.48939,0.40043,0.22564,0.38609,0.4549,0.38083,0.15942,1.51706,1.54125,1.94413,0.01237,0,0.00266292,0.00266292,0.00266292
37,865.486,1.73858,1.95733,1.86216,0.00957,1.26144,0.39735,0.35007,0.40027,0.22126,0.38382,0.33112,0.36648,0.15011,1.5399,1.60039,1.97696,0.01296,0,0.0026442,0.0026442,0.0026442
38,887.979,1.64525,1.84797,1.82357,0.00929,1.30067,0.43738,0.3372,0.42544,0.24498,0.38909,0.35282,0.37469,0.16862,1.49439,1.56747,1.94759,0.01274,0,0.00262505,0.00262505,0.00262505
39,909.939,1.72679,1.861,1.89213,0.01057,1.30149,0.36419,0.39917,0.3988,0.2256,0.35365,0.38616,0.3707,0.16216,1.58102,1.50367,1.91328,0.01419,0,0.00260547,0.00260547,0.00260547
40,932.356,1.66642,1.7943,1.81139,0.0102,1.27177,0.50814,0.36055,0.43602,0.25092,0.48211,0.32609,0.3908,0.16903,1.48467,1.61501,1.81281,0.0129,0,0.00258547,0.00258547,0.00258547
41,954.741,1.62595,1.90894,1.80616,0.00961,1.18115,0.39902,0.44228,0.44215,0.25791,0.38333,0.43022,0.39635,0.16609,1.57287,1.53244,1.79825,0.01365,0,0.00256505,0.00256505,0.00256505
42,976.946,1.59219,1.77006,1.76418,0.00957,1.29139,0.41748,0.44557,0.44622,0.26221,0.374,0.44278,0.39122,0.15854,1.53193,1.6334,1.79166,0.01347,0,0.00254423,0.00254423,0.00254423
43,999.127,1.66392,1.8619,1.81335,0.01015,1.23582,0.41455,0.4889,0.45838,0.25704,0.35329,0.435,0.37391,0.13853,1.51998,1.70252,1.81404,0.01367,0,0.00252302,0.00252302,0.00252302
44,1021.37,1.6593,1.87095,1.82403,0.0097,1.2374,0.37414,0.39592,0.42881,0.25659,0.4661,0.37654,0.39863,0.16719,1.41549,1.52608,1.82059,0.01274,0,0.00250141,0.00250141,0.00250141
45,1043.88,1.51539,1.70814,1.75054,0.00933,1.11813,0.37949,0.48359,0.42658,0.25065,0.32522,0.42834,0.37414,0.15947,1.43563,1.5632,1.83504,0.01183,0,0.00247943,0.00247943,0.00247943
46,1066.58,1.57906,1.89575,1.72599,0.00876,1.22263,0.43667,0.41241,0.43537,0.25487,0.37247,0.42473,0.4084,0.16533,1.44181,1.54729,1.80497,0.01178,0,0.00245707,0.00245707,0.00245707
47,1091.71,1.64553,1.83283,1.76169,0.00897,1.29322,0.45083,0.45259,0.42684,0.25296,0.41836,0.4524,0.38897,0.1622,1.4933,1.58108,1.76391,0.01162,0,0.00243435,0.00243435,0.00243435
48,1115.57,1.66987,1.82525,1.73174,0.00912,1.26738,0.43108,0.46813,0.43109,0.26656,0.43026,0.44258,0.40644,0.17461,1.42573,1.59599,1.75303,0.01119,0,0.00241128,0.00241128,0.00241128
49,1139.51,1.58297,1.71284,1.73817,0.00931,1.24369,0.41054,0.41647,0.42411,0.25653,0.43944,0.3882,0.40757,0.18635,1.48468,1.49245,1.79741,0.01214,0,0.00238786,0.00238786,0.00238786
50,1163.02,1.53989,1.81814,1.70881,0.00901,1.22612,0.41412,0.43359,0.44842,0.25895,0.4515,0.4037,0.41834,0.17907,1.54539,1.48525,1.75327,0.0135,0,0.00236411,0.00236411,0.00236411
51,1186.63,1.6057,1.80982,1.70748,0.01015,1.29796,0.48413,0.44092,0.47871,0.29982,0.46453,0.427,0.45773,0.2042,1.46142,1.50122,1.65597,0.0119,0,0.00234002,0.00234002,0.00234002
52,1209.07,1.61025,1.83052,1.7214,0.00925,1.27244,0.45758,0.47712,0.46689,0.2973,0.44769,0.42741,0.43708,0.19708,1.4143,1.47346,1.63362,0.0116,0,0.00231562,0.00231562,0.00231562
53,1231.42,1.54796,1.88518,1.64178,0.00896,1.25091,0.48416,0.41017,0.45065,0.28071,0.43713,0.38064,0.40788,0.19468,1.44017,1.51185,1.7318,0.012,0,0.00229091,0.00229091,0.00229091
54,1253.4,1.52155,1.83167,1.71567,0.00927,1.26975,0.48049,0.44503,0.46343,0.28579,0.47339,0.4259,0.43264,0.1908,1.40376,1.58156,1.65462,0.0119,0,0.0022659,0.0022659,0.0022659
55,1275.37,1.55734,1.80719,1.67025,0.00881,1.19982,0.46296,0.49289,0.48978,0.30662,0.46623,0.48553,0.46488,0.20795,1.35227,1.53347,1.63692,0.01123,0,0.0022406,0.0022406,0.0022406
56,1297.46,1.60837,1.81399,1.69873,0.00926,1.21183,0.4623,0.52022,0.51114,0.31701,0.45018,0.49809,0.49093,0.22124,1.33942,1.48418,1.59821,0.01064,0,0.00221502,0.00221502,0.00221502
57,1320.1,1.4836,1.7008,1.64346,0.00846,1.21779,0.44482,0.52734,0.49422,0.29847,0.45241,0.52997,0.47853,0.2135,1.33778,1.48731,1.66177,0.01062,0,0.00218918,0.00218918,0.00218918
58,1342.31,1.58924,1.6612,1.70828,0.00926,1.24843,0.55903,0.42104,0.49211,0.2984,0.54248,0.41903,0.47479,0.2418,1.44044,1.46013,1.67848,0.01197,0,0.00216307,0.00216307,0.00216307
59,1364.08,1.55272,1.6972,1.69565,0.00859,1.23673,0.50686,0.4504,0.49178,0.31578,0.54059,0.43204,0.48012,0.24426,1.43477,1.49544,1.65104,0.01172,0,0.00213671,0.00213671,0.00213671
60,1386.24,1.55921,1.72348,1.67173,0.0094,1.24035,0.54836,0.46426,0.49369,0.30527,0.53857,0.45582,0.47255,0.22078,1.35705,1.51159,1.65324,0.01119,0,0.00211011,0.00211011,0.00211011
61,1407.89,1.52764,1.76806,1.76923,0.00904,1.20883,0.55036,0.52473,0.51084,0.31684,0.52893,0.51685,0.48353,0.21857,1.36554,1.51133,1.60727,0.01091,0,0.00208328,0.00208328,0.00208328
62,1429.54,1.5223,1.75861,1.66885,0.00858,1.21236,0.51638,0.51346,0.50613,0.30502,0.49219,0.51655,0.47618,0.20189,1.40812,1.53037,1.60399,0.01199,0,0.00205624,0.00205624,0.00205624
63,1452.01,1.57756,1.80635,1.6786,0.00859,1.22265,0.40389,0.48784,0.49724,0.31674,0.43326,0.47721,0.48112,0.20976,1.37168,1.47123,1.62812,0.01195,0,0.00202898,0.00202898,0.00202898
64,1476.53,1.50745,1.67628,1.57324,0.0088,1.19786,0.44844,0.49979,0.51362,0.32761,0.45744,0.45645,0.48317,0.21552,1.3817,1.48494,1.5635,0.01147,0,0.00200153,0.00200153,0.00200153
65,1501.29,1.54609,1.73438,1.60944,0.00857,1.23738,0.45802,0.50411,0.51373,0.32923,0.48212,0.46357,0.48022,0.22009,1.34465,1.52793,1.60657,0.01129,0,0.00197389,0.00197389,0.00197389
66,1524.56,1.51536,1.72032,1.57784,0.00841,1.16101,0.43943,0.48488,0.49572,0.32417,0.4546,0.49856,0.48908,0.22859,1.35136,1.46873,1.58553,0.01153,0,0.00194607,0.00194607,0.00194607
67,1546.76,1.52225,1.61788,1.66655,0.00936,1.19176,0.42991,0.50374,0.50234,0.32663,0.42856,0.49828,0.49315,0.22644,1.31187,1.49036,1.59517,0.0106,0,0.00191809,0.00191809,0.00191809
68,1569.08,1.49555,1.7526,1.59282,0.00845,1.22546,0.43636,0.52349,0.51019,0.32411,0.48482,0.43044,0.47875,0.215,1.36356,1.52426,1.62903,0.01124,0,0.00188995,0.00188995,0.00188995
69,1592.55,1.45563,1.68297,1.61645,0.00883,1.1514,0.41841,0.51233,0.51275,0.31918,0.40772,0.49665,0.47412,0.22704,1.35514,1.47419,1.61879,0.01073,0,0.00186167,0.00186167,0.00186167
70,1616.67,1.49633,1.72891,1.60304,0.00845,1.22736,0.44626,0.4946,0.51154,0.3273,0.49952,0.44981,0.49448,0.22685,1.32516,1.44864,1.59384,0.01049,0,0.00183325,0.00183325,0.00183325
71,1640.33,1.52756,1.59784,1.64219,0.00874,1.16255,0.51022,0.46321,0.51289,0.31263,0.55168,0.40763,0.4804,0.22352,1.39779,1.46639,1.61378,0.01153,0,0.00180471,0.00180471,0.00180471
72,1665.49,1.51178,1.6819,1.62186,0.00871,1.2712,0.5089,0.49056,0.51461,0.31889,0.50165,0.45006,0.4766,0.23151,1.36388,1.43489,1.63296,0.01117,0,0.00177606,0.00177606,0.00177606
73,1689.1,1.47489,1.73779,1.60027,0.008,1.11565,0.48599,0.54329,0.52167,0.32839,0.45939,0.52688,0.4907,0.24613,1.29794,1.41532,1.59234,0.01036,0,0.00174731,0.00174731,0.00174731
74,1711.68,1.48415,1.69948,1.52622,0.00743,1.16298,0.37228,0.52682,0.51297,0.33375,0.36749,0.5344,0.48033,0.20375,1.27184,1.46426,1.5748,0.01031,0,0.00171846,0.00171846,0.00171846
75,1733.92,1.52903,1.74032,1.57335,0.00795,1.16975,0.41568,0.5243,0.50773,0.3279,0.40211,0.51448,0.47695,0.19987,1.3663,1.45076,1.56856,0.0107,0,0.00168954,0.00168954,0.00168954
76,1756.3,1.4975,1.70167,1.5702,0.00821,1.19408,0.45628,0.53371,0.51366,0.31509,0.42125,0.51042,0.45996,0.19069,1.36553,1.46051,1.58781,0.01105,0,0.00166056,0.00166056,0.00166056
77,1779.85,1.52186,1.74155,1.56742,0.00915,1.285,0.46705,0.52317,0.52755,0.33004,0.43689,0.49001,0.47231,0.20344,1.34349,1.48618,1.57196,0.01128,0,0.00163151,0.00163151,0.00163151
78,1802.5,1.42817,1.70592,1.53584,0.00829,1.19984,0.46877,0.51031,0.51715,0.32428,0.46729,0.50376,0.4864,0.2318,1.3682,1.46765,1.53787,0.01117,0,0.00160242,0.00160242,0.00160242
79,1825.72,1.49134,1.68346,1.52117,0.00837,1.18524,0.45091,0.53733,0.51276,0.32654,0.44626,0.53535,0.48986,0.23639,1.30682,1.47105,1.55951,0.01066,0,0.0015733,0.0015733,0.0015733
